colonie_id;secteur_nom_en;secteur_nom_fr;colonie_nom_en;colonie_nom_fr;etang;gestion;sousunite_nom_en;sousunite_nom_fr;subreg_id;latitude;longitude
1;"SAINT-VALERY-EN-CAUX A VEULES-LES-ROSES		";PAYS DE CAUX;Saint-Valery-en-Caux a Veules-les-Roses ;Saint-Valery-en-Caux a Veules-les-Roses ;;; ; ;4;49.87194;0.76194
2;SAINT-MARCOUF Île de Terre;LITTORAL COTENTIN EST;Saint Marcouf-Île de Terre;Saint Marcouf-Île de Terre;;; ; ;4;49.49778;-1.15417
3;SAINT-MARCOUF;LITTORAL COTENTIN EST;Ile du Large;Saint Marcouf-Île du Large;;; ; ;4;49.49361;-1.14639
5;BELLEVILLE-SUR-MER;PAYS DE CAUX;Valle Prêtre;Val du Prêtre;;; ; ;4;49.95056;1.14389
6;"CAP BLANC NEZ		";"CAP BLANC NEZ		";"CAP BLANC NEZ		";"CAP BLANC NEZ		";;; ; ;4;50.93;1.715
7;CAP BLANC NEZ;CAP BLANC NEZ;Cap Blanc Nez_002;Cap Blanc Nez_002;;; ; ;4;50.922639;1.703889
8;CAP BLANC NEZ;CAP BLANC NEZ;Cap Blanc Nez_004;Cap Blanc Nez_004;;; ; ;4;50.922972;1.704444
9;CAP BLANC NEZ;CAP BLANC NEZ;Cap Blanc Nez_008;Cap Blanc Nez_008;;; ; ;4;50.926889;1.709167
10;BOULOGNE-SUR-MER;BOULOGNE-SUR-MER;Rue de Nemours;Rue de Nemours;;; ; ;4;50.72225;1.595736
11;BOULOGNE-SUR-MER;BOULOGNE-SUR-MER;Quai Napoléon1;Quai Napoléon1;;; ; ;4;50.723722;1.594347
12;BOULOGNE-SUR-MER;BOULOGNE-SUR-MER;Quai Napoléon2;Quai Napoléon2;;; ; ;4;50.724181;1.594014
13;BOULOGNE-SUR-MER;BOULOGNE-SUR-MER;Ecluse Loubet1;Ecluse Loubet1;;; ; ;4;50.726417;1.591042
14;BOULOGNE-SUR-MER;BOULOGNE-SUR-MER;Ecluse Loubet2;Ecluse Loubet2;;; ; ;4;50.7265;1.591792
15;BOULOGNE-SUR-MER;BOULOGNE-SUR-MER;Gare maritime;Gare maritime;;; ; ;4;50.726181;1.596861
16;"CAP FAGNET		";PAYS DE CAUX;"CAP FAGNET		";Cap Fagnet;;; ; ;4;49.7695;0.37
17;"CAP D'ANTIFER		";PAYS DE CAUX;"CAP D'ANTIFER		";Cap d'antifer;;; ; ;4;49.683056;0.164167
18;"ENGLESQUEVILLE-LA-PERCEE		";FALAISES DU BESSIN;Englesqueville-la-Percée;Englesqueville-la-Percée;;; ; ;4;49.392777;-0.926111
20;CÔTE D'OPALE;CÔTE D'OPALE;Platier d'Oye;Platier d'Oye;;; ; ;4;51.0044;2.05427
21;BAIE DE LANCIEUX ET FRESNAYE;BAIE DE LANCIEUX ET FRESNAYE;La Colombière;La Colombière;;; ; ;4;48.623611;-2.206111
23;"CÔTE D'OPALE		";"CÔTE D'OPALE		";"CÔTE D'OPALE		";"CÔTE D'OPALE		";;; ; ;4;50.993482;2.065738
24;CÔTE D'OPALE;CÔTE D'OPALE;Clipon;Clipon;;; ; ;4;51.04326;2.191761
25;CÔTE D'OPALE;CÔTE D'OPALE;Grand-Fort Philippe;Grand-Fort Philippe;;; ; ;4;51.010411;2.089515
26;CÔTE D'OPALE;CÔTE D'OPALE;banc du Casino RNN+banc DPM;banc du Casino RNN+banc DPM;;; ; ;4;51.001743;2.037609
27;BAIE DE SEINE;BAIE DE SEINE;Estuaire de la Seine;Estuaire de la Seine;;; ; ;4;49.447466;0.163214
28;ESTUAIRE DE JAUDY;ESTUAIRE DE JAUDY;Sillon de Talbert;Sillon de Talbert;;; ; ;2;48.8826;-3.0733
29;ARCHIPEL DE MOLENE;ARCHIPEL DE MOLENE;Enez ar C'hrizien;Enez ar C'hrizien;;; ; ;2;48.37887;-4.938644
30;ARCHIPEL DE MOLENE;ARCHIPEL DE MOLENE;Île de Kemenez (cale);Île de Kemenez (cale);;; ; ;2;48.375834;-4.897295
31;ARCHIPEL DE MOLENE;ARCHIPEL DE MOLENE;Île de Kemenez (sud);Île de Kemenez (sud);;; ; ;2;48.37257;-4.897091
32;ARCHIPEL DE MOLENE;ARCHIPEL DE MOLENE;Litiri;Litiri;;; ; ;2;48.374445;-4.885021
33;SEIN ET CHAUSSEE;SEIN ET CHAUSSEE;Île de Sein;Île de Sein;;; ; ;2;48.04388;-4.866012
34;CÔTE D'OPALE;CÔTE D'OPALE;Gravelines;Gravelines;;; ; ;4;51.018396;2.136333
35;"ÎLE CHAUSEY		";"ÎLE CHAUSEY		";"ÎLE CHAUSEY		";"ÎLE CHAUSEY		";;; ; ;4;48.875;-1.828
36;"RANCE FLUVIALE 		";"RANCE FLUVIALE 		";"RANCE FLUVIALE 		";"RANCE FLUVIALE 		";;; ; ;2;48.600278;-1.9725
38;"TRÉGOR GOËLO		";"TRÉGOR GOËLO		";"TRÉGOR GOËLO		";"TRÉGOR GOËLO		";;; ; ;2;48.866112;-3.131433
39;ARCHIPEL DES SEPT-ÎLES;ARCHIPEL DES SEPT-ÎLES;RNN des Sept-Îles;RNN des Sept-Îles;;;îlots du Cerf;îlots du Cerf;2;48.875219;-3.507312
40;CÔTE DE GRANIT ROSE;CÔTE DE GRANIT ROSE;Le Gouffre;Le Gouffre;;; ; ;2;48.840905;-3.508811
41;CÔTE DE GRANIT ROSE;CÔTE DE GRANIT ROSE;Île de Costaeres;Île de Costaeres;;; ; ;2;48.835623;-3.491747
42;CÔTE DE GRANIT ROSE;CÔTE DE GRANIT ROSE;Île Renote;Île Renote;;; ; ;2;48.836435;-3.504369
43;BAIE DE MORLAIX;BAIE DE MORLAIX;Île aux Dames;Île aux Dames;;; ; ;2;48.691667;-3.894444
44;ÎLE DE BATZ;ÎLE DE BATZ;Île Kernog;Île Kernog;;; ; ;2;48.754167;-4.028333
45;PAYS PAGAN;PAYS PAGAN;Etang du Curnic;Etang du Curnic;;; ; ;2;48.635432;-4.437413
46;RÉGION DES ABERS;RÉGION DES ABERS;Aber Benoit;Aber Benoit;;; ; ;2;48.601389;-4.623333
47;PAYS D'IROISE;PAYS D'IROISE;Gymnase de Saint-Renan;Gymnase de Saint-Renan;;; ; ;2;48.431944;-4.623056
48;ARCHIPEL DE MOLENE;ARCHIPEL DE MOLENE;Banneg;Banneg;;; ; ;2;48.426593;-5.124369
50;ARCHIPEL DE MOLENE;ARCHIPEL DE MOLENE;Ledenez Vraz Kemenez;Ledenez Vraz Kemenez;;; ; ;2;48.380189;-4.899709
52;RADE DE BREST;RADE DE BREST;Baie de Roscanvel;Baie de Roscanvel;;; ; ;2;48.305281;-4.49724
53;RADE DE BREST;RADE DE BREST;Ducs d'Albe (pointe de l'Armorique);Ducs d'Albe (pointe de l'Armorique);;; ; ;2;48.322391;-4.454092
54;RADE DE BREST;RADE DE BREST;Port de commerce de Brest (digue sud);Port de commerce de Brest (digue sud);;; ; ;2;48.378314;-4.476568
55;RADE DE BREST;RADE DE BREST;Gabion du port de commerce de Brest;Gabion du port de commerce de Brest;;; ; ;2;48.385397;-4.460389
56;FALAISES DU BESSIN  ;FALAISES DU BESSIN  ;Saint-Pierre-du-Mont;Saint-Pierre-du-Mont;;;Colonies naturelles;Colonies naturelles;4;49.395833;-0.979167
57;LITTORAL COTENTIN EST;LITTORAL COTENTIN EST;Saint-Marcouf;Saint-Marcouf;;; ; ;4;49.495883;-1.148611
58;"LA HOUGUE ET CHERBOURG		";"LA HOUGUE ET CHERBOURG		";"LA HOUGUE ET CHERBOURG		";"LA HOUGUE ET CHERBOURG		";;; ; ;4;49.666667;-1.6
60;MONT SAINT MICHEL ET RADE DE CANCALE ;MONT SAINT MICHEL ET RADE DE CANCALE ;Autres Îlots;Autres Îlots;;; ; ;2;48.711111;-1.8375
61;MONT SAINT MICHEL ET RADE DE CANCALE;MONT SAINT MICHEL ET RADE DE CANCALE;Île des Landes;Île des Landes;;; ; ;2;48.710984;-1.83763
62;GRANDE RADE DE SAINT-MALO;GRANDE RADE DE SAINT-MALO;île Agot;île Agot;;; ; ;2;48.639115;-2.1596
63;GRANDE RADE DE SAINT MALO  ;GRANDE RADE DE SAINT MALO ;Cézembre;Cézembre;;; ; ;2;48.676944;-2.071389
64;RANCE FLUVIALE ;RANCE FLUVIALE ;Île aux Moines;Île aux Moines;;; ; ;2;48.586927;-1.994395
65;ERQUY ET FREHEL ;ERQUY ET FREHEL ;Cap Fréhel;Cap Fréhel;;; ; ;2;48.6875;-2.330556
66;BAIE DE SAINT BRIEUC  ;BAIE DE SAINT BRIEUC  ;Verdelet;Verdelet;;; ; ;2;48.604722;-2.558333
67;COTE DU GOELO ;COTE DU GOELO ;Saint Riom;Saint Riom;;; ; ;2;48.798312;-2.978867
68;ARCHIPEL DES SEPT ILES;ARCHIPEL DES SEPT ILES;ARCHIPEL DES SEPT ILES;ARCHIPEL DES SEPT ILES;;; ;;2;48.891667;-3.464444
69;"BAIE DE MORLAIX		";"BAIE DE MORLAIX		";"BAIE DE MORLAIX		";"BAIE DE MORLAIX		";;; ; ;2;48.691667;-3.894444
70;ILE DE BATZ;ILE DE BATZ;Ti Saozon;Ti Saozon;;; ; ;2;48.754167;-4.028333
72;LE FOUR ;LE FOUR ;Les Fourches;Les Fourches;;; ; ;2;48.441111;-4.801111
73;"OUESSANT ET DEPENDANCES		";"OUESSANT ET DEPENDANCES		";"OUESSANT ET DEPENDANCES		";"OUESSANT ET DEPENDANCES		";;; ; ;2;48.458333;-5.082778
74;"ARCHIPEL DE MOLENE		";"ARCHIPEL DE MOLENE		";"ARCHIPEL DE MOLENE		";"ARCHIPEL DE MOLENE		";;; ; ;2;48.394444;-4.961111
75;"RADE DE BREST		";"RADE DE BREST		";"RADE DE BREST		";"RADE DE BREST		";;; ; ;2;48.306111;-4.53
76;PRESQU'ÎLE DE CROZON;PRESQU'ÎLE DE CROZON;Toulinguet;Toulinguet;;; ; ;2;48.275;-4.641667
77;PRESQU'ÎLE DE CROZON;PRESQU'ÎLE DE CROZON;Tas de Pois;Tas de Pois;;; ; ;2;48.25;-4.627778
78;PRESQU'ÎLE DE CROZON;PRESQU'ÎLE DE CROZON;Îlot de l'Aber;Îlot de l'Aber;;; ; ;2;48.221733;-4.437269
79;CAP SIZUN;CAP SIZUN;Goulien;Goulien;;; ; ;2;48.080555;-4.586666
81;ÎLE CHAUSEY;ÎLE CHAUSEY;Huguenans;Huguenans;;; ; ;4;48.873888;-1.773889
82;ÎLE CHAUSEY;ÎLE CHAUSEY;Houlée;Houlée;;; ; ;4;48.878825;-1.853213
83;ÎLE CHAUSEY;ÎLE CHAUSEY;Petit Romont;Petit Romont;;; ; ;4;48.885161;-1.818073
86;"MESNILVAL		";"MESNILVAL		";"MESNILVAL		";"MESNILVAL		";;; ; ;4;50.052777;1.344444
87;JOBOURG;LA HAGUE;Nez de Jobourg;Nez de Jobourg;;;Colonies naturelles;Colonies naturelles;4;49.672002;-1.940498
89;ARCHIPEL DE MOLENE;ARCHIPEL DE MOLENE;Roc'h Hir;Roc'h Hir;;; ; ;2;48.423;-5.0175
90;REGION DES ABERS ;REGION DES ABERS ;Trevoc'h;Trevoc'h;;; ; ;2;48.601389;-4.623333
91;BAIE DE MORLAIX;BAIE DE MORLAIX;Enez Rikard;Enez Rikard;;; ; ;2;48.69072461;-3.893708285
92;BAIE DE MORLAIX;BAIE DE MORLAIX;Enez Wragez;Enez Wragez;;; ; ;2;48.68614864;-3.844112891
93;TREGOR GOELO;TREGOR GOELO;Roc'h Losquet;Roc'h Losquet;;; ; ;4;48.84081;-3.026458
94;TREGOR GOELO;TREGOR GOELO;Cote 12 m;Cote 12 m;;; ; ;4;48.84876;-3.027861
95;TREGOR GOELO;TREGOR GOELO;Les Trois Îles;Les Trois Îles;;; ; ;4;48.837059;-3.04487
97;ESTUAIRE DU JAUDY;ESTUAIRE DU JAUDY;Stallio Braz (îlot de galets terminal du Talbert);Stallio Braz (îlot de galets terminal du Talbert);;; ; ;4;48.891411;-3.062012
98;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Meaban;Meaban;;; ; ;3;47.5287;-2.9468
99;PRESQU'ILE DE QUIBERON;PRESQU'ILE DE QUIBERON;Iniz er Gwernig;Iniz er Gwernig;;; ; ;3;47.5527;-3.1639
100;BELLE ILE;BELLE ILE;Ilot de Domois;Ilot de Domois;;; ; ;3;47.2961;-3.2269
101;BELLE ILE;BELLE ILE;Ilot pointe de Grand Village;Ilot pointe de Grand Village;;; ; ;3;47.2951;-3.1833
102;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Chubeguez Vras;Chubeguez Vras;;; ; ;3;47.3765;-2.9563
103;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Valueg;Er Valueg;;; ; ;3;47.4116;-3.0156
104;PRESQU'ILE DE QUIBERON;PRESQU'ILE DE QUIBERON;Tivieg;Tivieg;;; ; ;3;47.39;-3.2495
105;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Grimod Tost;Grimod Tost;;; ; ;3;47.3541;-2.9662
106;BELLE ILE;BELLE ILE;Ilot Bangor;Ilot Bangor;;; ; ;3;47.2928;-3.1956
107;BELLE ILE;BELLE ILE;Ilot Bourhic;Ilot Bourhic;;; ; ;3;47.2894;-3.1195
108;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Seniz;Seniz;;; ; ;3;47.3942;-2.9972
110;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Yoh;Er Yoh;;; ; ;3;47.389;-2.9374
111;BELLE ILE;BELLE ILE;Ilot Bornor;Ilot Bornor;;; ; ;3;47.2921;-3.2143
112;BELLE ILE;BELLE ILE;Enez Velen;Enez Velen;;; ; ;3;47.2951;-3.2252
113;BELLE ILE;BELLE ILE;Ilot Pouldon;Ilot Pouldon;;; ; ;3;47.2864;-3.1435
114;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Glazig;Glazig;;; ; ;3;47.4167;-3.0266
115;BELLE ILE;BELLE ILE;Ile aux Goélands;Ile aux Goélands;;; ; ;3;47.3392;-3.255
116;PRESQU'ILE DE QUIBERON;PRESQU'ILE DE QUIBERON;Rohellan;Rohellan;;; ; ;3;47.6089;-3.199
117;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Jeneteu;Er Jeneteu;;; ; ;3;47.397;-2.9422
118;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Hardenn Vras;Er Hardenn Vras;;; ; ;3;47.3258;-2.8352
119;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Groah Hoad;Groah Hoad;;; ; ;3;47.4032;-2.9498
120;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Vaz Pell;Er Vaz Pell;;; ; ;3;47.3693;-2.9461
121;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Valueg Vihan;Er Valueg Vihan;;; ; ;3;47.4117;-3.0125
122;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Houlumer;Er Houlumer;;; ; ;3;47.411;-3.0183
123;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Vaz Kreiz;Er Vaz Kreiz;;; ; ;3;47.3724;-2.9469
124;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Beg Duric;Beg Duric;;; ; ;3;47.3989;-2.9974
125;GOLFE DU MORBIHAN;GOLFE DU MORBIHAN;Er Valant;Er Valant;;; ; ;3;47.3568;-2.9705
126;BELLE ILE;BELLE ILE;Saint-Marc - Talut;Saint-Marc - Talut;;; ; ;3;47.2973;-3.1884
127;BELLE ILE;BELLE ILE;Port Fouquet - Citadelle;Port Fouquet - Citadelle;;; ; ;3;47.3604;-3.16
128;BELLE ILE;BELLE ILE;Citadelle - Gros Rocher;Citadelle - Gros Rocher;;; ; ;3;47.3394;-3.1462
129;BELLE ILE;BELLE ILE;Grands Sables - Kerdonis;Grands Sables - Kerdonis;;; ; ;3;47.3156;-3.0697
130;BELLE ILE;BELLE ILE;Skeul - Saint-Marc;Skeul - Saint-Marc;;; ; ;3;47.2887;-3.1248
131;BELLE ILE;BELLE ILE;Talut - Donnant;Talut - Donnant;;; ; ;3;47.3091;-3.2363
132;BELLE ILE;BELLE ILE;Borderun - Apothicairerie;Borderun - Apothicairerie;;; ; ;3;47.3544;-3.26
133;BELLE ILE;BELLE ILE;Donnant - Borderun;Donnant - Borderun;;; ; ;3;47.3356;-3.2485
134;BELLE ILE;BELLE ILE;Apothicairerie - Ster Vraz;Apothicairerie - Ster Vraz;;; ; ;3;47.3693;-3.2575
135;BELLE ILE;BELLE ILE;Sauzon - Port Jean;Sauzon - Port Jean;;; ; ;3;47.3698;-3.206
136;BELLE ILE;BELLE ILE;Ster Vraz - Poulains;Ster Vraz - Poulains;;; ; ;3;47.3792;-3.25
137;BELLE ILE;BELLE ILE;Port Jean - Port Fouquet;Port Jean - Port Fouquet;;; ; ;3;47.3636;-3.181
138;PLÉVENON;PLÉVENON;cap Fréhel;cap Fréhel;;;;;2;;
139;ILE CHAUSEY;ILE CHAUSEY;île Plate;île Plate;;; ; ;4;48.895708;-1.82314
140;MONT SAINT-MICHEL ET RADE DE CANCALE;MONT SAINT-MICHEL ET RADE DE CACALE;Le Chatellier;Le Chatellier;;; ; ;2;48.71098;-1.8376036
141;GRANDE RADE DE SAINT-MALO;GRANDE RADE DE SAINT-MALO;Grand Chevret;Grand Chevret;;; ; ;2;48.69856;-1.95393
142;ZPS FALAISE DU BESSIN OCCIDENTAL;ZPS FALAISE DU BESSIN OCCIDENTAL;ZPS FALAISE DU BESSIN OCCIDENTAL;ZPS FALAISE DU BESSIN OCCIDENTAL;;; ; ;4;49.3966;-0.95
143;SAINT-VALERY-EN-CAUX;SAINT-VALERY-EN-CAUX;SAINT-VALERY-EN-CAUX;SAINT-VALERY-EN-CAUX;;; ; ;4;49.8716;0.7662
144;PUYS_BELLEVILLE-SUR-MER;PUYS_BELLEVILLE-SUR-MER;PUYS_BELLEVILLE-SUR-MER;PUYS_BELLEVILLE-SUR-MER;;; ; ;4;49.9509;1.1455
145;POINTE DE LA CRECHE;POINTE DE LA CRECHE;POINTE DE LA CRECHE;POINTE DE LA CRECHE;;; ; ;4;50.7561;1.6009
146;CAP BLANC NEZ;CAP BLANC NEZ;Escalles;Escalles;;; ; ;4;50.0272;1.708
147;CAP BLANC NEZ;ARCHIPEL DE MOLENE;Escalles;Beniguet;;; ; ;2;48.3489;-4.856249
148;COTE DU GOELO;COTE DU GOELO;COTE DU GOELO;COTE DU GOELO;;; ; ;2;48.77528;-3.0447797
149;COTE DU GOELO;COTE DU GOELO;roches annexes;roches annexes;;; ; ;2;48.863436;-3.05375
150;ARCHIPEL DES SEPT-ILES;ARCHIPEL DES SEPT-ILES;RNN des Sept-Îles;RNN des Sept-Îles;;;Enez ar Razed;Enez ar Razed;2;48.881008;-3.49789
151;RANCE FLUVIALE;RANCE FLUVIALE;Pleudihen-la-ville-ger;Pleudihen-la-ville-ger;;; ; ;2;48.529119;-1.967608
152;COTE DU GOELO;COTE DU GOELO;pointe SW de Modez;pointe SW de Modez;;; ; ;2;48.8612356;-3.0468876
153;COTE DU GOELO;COTE DU GOELO;île Vierge;île Vierge;;; ; ;2;48.867177;-3.0569347
154;COTE DU GOELO;COTE DU GOELO;îlot 2205;îlot 2205;;; ; ;2;48.86767;-3.055296
155;COTE DU GOELO;COTE DU GOELO;îlot au NE de île Verte;îlot au NE de île Verte;;; ; ;2;48.8450307;-3.03085178
156;COTE DU GOELO;COTE DU GOELO;îlot au sud de Roch ar Musig;îlot au sud de Roc'h ar Musig;;; ; ;2;48.846628;-3.03005536
157;RANCE FLUVIALE;RANCE FLUVIALE;La Hisse;La Hisse;;; ; ;2;48.598497;-2.0088136
158;COTE OPALE;CÔTE D'OPALE;Marck;Marck;;;Hemmes de Marck;Hemmes de Marck;4;50.984595;1.918616
160;RANCE FLUVIALE;RANCE FLUVIALE;Moulin Beauchet;Moulin Beauchet;;; ; ;2;48.5760645;-1.95570608
161;PAYS PAGAN;PAYS PAGAN;Guisseny;Guisseny;;; ; ;2;48.63389766;-4.4353277
162;RADE DE BREST;RADE DE BREST;Quai est du gabion;Quai est du gabion;;; ; ;2;48.38482861;-4.4595363
163;COTE DU GOELO;COTE DU GOELO;3827;3827;;; ; ;2;48.8597388;-3.048143553
164;SAINT-RENAN;SAINT-RENAN;Gymnase;Gymnase;;; ; ;2;48.4388854;-4.632379
166;BAIE DU MONT-SAINT-MICHEL;BAIE DU MONT-SAINT-MICHEL;Île Tombelaine;Île Tombelaine;;;"Colonies naturelles	";"Colonies naturelles	";4;48.660114;-1.513175
167;CALVADOS CÔTE DE NACRE;CALVADOS CÔTE DE NACRE;Ville de Courseulles-sur-Mer;Ville de Courseulles-sur-Mer;;;Colonies urbaines;Colonies urbaines;4;49.319891;-0.450739
168;CÔTE OUEST COTENTIN;CÔTE OUEST COTENTIN;Centrale de Flamanville;Centrale de Flamanville;;; ; ;4;49.536646;-1.883066
169;COTE EST-COTENTIN;CÔTE EST-COTENTIN;Ile Tatihou;Ile Tatihou;;;Colonies naturelles;Colonies naturelles;4;49.589133;-1.243162
170;FALAISES DU BESSIN;FALAISES DU BESSIN;Cricqueville-en-Bessin;Cricqueville-en-Bessin;;;Colonies naturelles;Colonies naturelles;4;49.395833;-0.995833
171;FALAISES DU BESSIN;FALAISES DU BESSIN;Englesqueville-la-Percée - Est;Englesqueville-la-Percée - Est;;;Colonies naturelles;Colonies naturelles;4;49.396501;-0.953659
172;FALAISES DU BESSIN;FALAISES DU BESSIN;Englesqueville-la-Percée - Ouest;Englesqueville-la-Percée - Ouest;;;Colonies naturelles;Colonies naturelles;4;49.394279;-0.933501
173;FALAISES DU BESSIN;FALAISES DU BESSIN;Louvières-Vierville;Louvières-Vierville;;; ; ;4;49.385367;-0.911958
174;LA HAGUE;LA HAGUE;Les Herbeuses;Les Herbeuses;;;Colonies naturelles;Colonies naturelles;4;49.719444;-1.894444
175;LA HAGUE;LA HAGUE;Longue Équette;Longue Équette;;;Colonies naturelles;Colonies naturelles;4;49.721968;-1.947306
176;PAYS DE CAUX;PAYS DE CAUX;Berneval-le-Grand - Dieppe;Berneval-le-Grand - Dieppe;;;Colonies naturelles;Colonies naturelles;4;49.950528;1.137772
177;PAYS DE CAUX;PAYS DE CAUX;Centrale de Paluel;Centrale de Paluel;;;Colonies urbaines;Colonies urbaines;4;49.858149;0.634156
178;PAYS DE CAUX;PAYS DE CAUX;Centrale de Penly;Centrale de Penly;;;Colonies urbaines;Colonies urbaines;4;49.975793;1.209168
179;PAYS DE CAUX;PAYS DE CAUX;Centrale de Penly- Berneval-le-Grand ;Centrale de Penly- Berneval-le-Grand ;;;Colonies naturelles;Colonies naturelles;4;49.97079;1.196453
180;PAYS DE CAUX;PAYS DE CAUX;Criel-sur-Mer- Centrale de Penly;Criel-sur-Mer - Centrale de Penly;;;Colonies naturelles;Colonies naturelles;4;50.008744;1.261747
181;PAYS DE CAUX;PAYS DE CAUX;Dieppe - Pourville-sur-Mer;Dieppe - Pourville-sur-Mer;;;Colonies naturelles;Colonies naturelles;4;49.923453;1.050354
182;PAYS DE CAUX;PAYS DE CAUX;Dieppe - Varengeville;Dieppe - Varengeville;;; ; ;4;49.918742;1.033017
183;PAYS DE CAUX;PAYS DE CAUX;Etretat - Saint-Jouin-Bruneval;Etretat - Saint-Jouin-Bruneval;;;Colonies naturelles;Colonies naturelles;4;49.680446;0.161925
184;PAYS DE CAUX;PAYS DE CAUX;Fécamp - Vaucottes ;Fécamp - Vaucottes;;;Colonies naturelles;Colonies naturelles;4;49.748865;0.337195
186;PAYS DE CAUX;PAYS DE CAUX;Le Tréport - Criel-sur-Mer;Le Tréport - Criel-sur-Mer ;;;Colonies naturelles;Colonies naturelles;4;50.044033;1.323014
187;PAYS DE CAUX;PAYS DE CAUX;Octeville-sur-Mer - Le Havre;Octeville-sur-Mer - Le Havre;;;Colonies naturelles;Colonies naturelles;4;49.494247;0.09191
188;PAYS DE CAUX;PAYS DE CAUX;Petites Dalles - Grandes Dalles;Petites Dalles - Grandes Dalles;;; ; ;4;49.823196;0.519485
189;PAYS DE CAUX;PAYS DE CAUX;Pourville - Varengeville;Pourville - Varengeville;;; ; ;4;49.917324;1.005932
190;PAYS DE CAUX;PAYS DE CAUX;Saint-Aubin-sur-Mer - Veules-les-Roses;Saint-Aubin-sur-Mer - Veules-les-Roses;;;Colonies naturelles;Colonies naturelles;4;49.887257;0.822514
191;PAYS DE CAUX;PAYS DE CAUX;Quiberville - Saint-Aubin-sur-Mer;Quiberville - Saint-Aubin-sur-Mer;;;Colonies naturelles;Colonies naturelles;4;49.898684;0.888587
192;PAYS DE CAUX;PAYS DE CAUX;Saint-Jouin-Bruneval - Cauville-sur-Mer;Saint-Jouin-Bruneval - Cauville-sur-Mer;;;Colonies naturelles;Colonies naturelles;4;49.619891;0.135355
193;PAYS DE CAUX;PAYS DE CAUX;Saint-Pierre-en-Port - Senneville-sur-Fécamp;Saint-Pierre-en-Port - Senneville-sur-Fécamp;;;Colonies naturelles;Colonies naturelles;4;49.795699;0.450814
194;PAYS DE CAUX;PAYS DE CAUX;Saint-Valery-en-Caux - Veulettes-sur-Mer;Saint-Valery-en-Caux - Veulettes-sur-Mer;;;Colonies naturelles;Colonies naturelles;4;49.860613;0.616879
195;PAYS DE CAUX;PAYS DE CAUX;Senneville-sur-Fécamp - Fécamp;Senneville-sur-Fécamp - Fécamp;;;Colonies naturelles;Colonies naturelles;4;49.768664;0.369277
196;PAYS DE CAUX;PAYS DE CAUX;Varengeville - Quiberville;Varengeville - Quiberville;;;Colonies naturelles;Colonies naturelles;4;49.914974;0.945693
197;PAYS DE CAUX;PAYS DE CAUX;Vaucottes - Bénouville;Vaucottes - Bénouville;;;Colonies naturelles;Colonies naturelles;4;49.737221;0.280964
198;PAYS DE CAUX;PAYS DE CAUX;Veules-les-Roses - Saint-Valery-en-Caux;Veules-les-Roses - Saint-Valery-en-Caux;;;Colonies naturelles;Colonies naturelles;4;49.87224;0.749734
199;PAYS DE CAUX;PAYS DE CAUX;Veulettes-sur-Mer - Petites dalles;Veulettes-sur-Mer - Petites dalles;;;Colonies naturelles;Colonies naturelles;4;49.84221;0.550406
200;PAYS DE CAUX;PAYS DE CAUX;Ville de Dieppe;Ville de Dieppe;;;Colonies urbaines;Colonies urbaines;4;49.926296;1.086739
201;PAYS DE CAUX;PAYS DE CAUX;Ville de Eu;Ville de Eu;;;Colonies urbaines;Colonies urbaines;4;50.065177;1.433799
202;PAYS DE CAUX;PAYS DE CAUX;Ville de Fécamp;Ville de Fécamp;;;Colonies urbaines;Colonies urbaines;4;49.75313;0.395944
203;PAYS DE CAUX;PAYS DE CAUX;Ville de Saint-Valery-en-Caux;Ville de Saint-Valery-en-Caux;;;Colonies urbaines;Colonies urbaines;4;49.858385;0.709049
205;PAYS DE CAUX;PAYS DE CAUX;Ville du Havre;Ville du Havre;;;"Colonies urbaines	";"Colonies urbaines	";4;49.499813;0.142773
207;RADE DE CHERBOURG;RADE DE CHERBOURG;Fort central;Fort central;;;Colonies naturelles;Colonies naturelles;4;49.674026;-1.619115
208;RADE DE CHERBOURG;RADE DE CHERBOURG;Fort de Chavagnac;Fort de Chavagnac;;;Colonies naturelles;Colonies naturelles;4;49.670565;-1.664458
209;RADE DE CHERBOURG;RADE DE CHERBOURG;Fort de l'Est;Fort de l'Est;;;Colonies naturelles;Colonies naturelles;4;49.671577;-1.59873
210;RADE DE CHERBOURG;RADE DE CHERBOURG;Fort de l'île Pelée;Fort de l'île Pelée;;;Colonies naturelles;Colonies naturelles;4;49.670032;-1.583454
